Nome do Produto,qtd,cancelados,taxa_cancel
RESIDENCIAL SEGURO EXCLUSIVO,701,308,0.4393723252496433
RESIDENCIAL SEGURO FÁCIL II,7968,3399,0.4265813253012048
RESIDENCIAL SEGURO ESSENCIAL,8984,3515,0.3912511130899376
RESIDENCIAL SEGURO COMPLETO,16337,6382,0.3906469976127808
SANCOR SEGUROS EMPRESARIAL FÁCIL,779,281,0.3607188703465982
EMPRESARIAL SANCOR DIGITAL,1003,360,0.3589232303090728
RESIDENCIAL SANCOR DIGITAL  II,5978,2075,0.3471060555369689
VIDA INDIVIDUAL FÁCIL PLUS,1046,359,0.3432122370936902
SANCOR SEGUROS EMPRESARIAL,15446,5216,0.3376926065000647
SANCOR SEGUROS VIDA FÁCIL (PLANO I),1733,537,0.309867282169648
