campo_agrupado;agrupa_por;tipo_agg;ds_tipo_agg
Apólice;Nome da Cobertura;nunique;Quantidade de
Apólice;ID do Grupo do Ramo;nunique;Quantidade de
Apólice;Nome do Movimento de Sinistro;nunique;Quantidade de
Apólice;UF da Ocorrência do Sinistro;nunique;Quantidade de
Número do Sinistro;Nome da Cobertura;nunique;Quantidade de
Número do Sinistro;ID do Grupo do Ramo;nunique;Quantidade de
Número do Sinistro;Nome do Movimento de Sinistro;nunique;Quantidade de
Número do Sinistro;UF da Ocorrência do Sinistro;nunique;Quantidade de
Valor do Evento de Sinistro;Nome da Cobertura;sum;Soma de
Valor do Evento de Sinistro;ID do Grupo do Ramo;sum;Soma de
Valor do Evento de Sinistro;Nome do Movimento de Sinistro;sum;Soma de
Valor do Evento de Sinistro;UF da Ocorrência do Sinistro;sum;Soma de
